BMW,24,31,10,10,3,3,8,1,2,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0
Coca-Cola,45,29,10,9,5,1,3,1,4,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1
ikea,16,5,10,5,5,0,2,1,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
metallica,13,10,9,7,0,3,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
S04,31,26,14,5,4,4,1,0,1,0,1,1,0,2,1,0,0,1,1,1,0,0,0,1,0
speed limit 30,55,19,10,1,0,2,0,2,2,4,0,1,1,0,0,1,0,1,1,0,2,1,2,5,0
Trabant,32,44,24,7,1,3,2,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
